Uniname,Majorname
"California State University, Bakersfield",Economics
"California State University, Bakersfield",Political Science
"California State University, Bakersfield",History
"California State University, Bakersfield",Kinesiology and Physical Therapy
"California State University, Bakersfield",Art
"California State University, Bakersfield",Math
"California State University, Bakersfield",Environmental Science
California State University Channel Islands,Business and Management
California State University Channel Islands,Nursing
California State University Channel Islands,Psychology
California State University Channel Islands,Biology
California State University Channel Islands,Engineering
California State University Channel Islands,Education
California State University Channel Islands,Communications
California State University Channel Islands,Anthropology
California State University Channel Islands,Computer Science
California State University Channel Islands,English
California State University Channel Islands,Economics
California State University Channel Islands,Political Science
California State University Channel Islands,History
California State University Channel Islands,Art
California State University Channel Islands,Math
California State University Channel Islands,Environmental Science
"California State University, Chico",Business and Management
"California State University, Chico",Nursing
"California State University, Chico",Psychology
"California State University, Chico",Biology
"California State University, Chico",Engineering
"California State University, Chico",Education
"California State University, Chico",Communications
"California State University, Chico",Criminal Justice
"California State University, Chico",Anthropology
"California State University, Chico",Computer Science
"California State University, Chico",English
"California State University, Chico",Economics
"California State University, Chico",Political Science
"California State University, Chico",History
"California State University, Chico",Kinesiology and Physical Therapy
"California State University, Chico",Art
"California State University, Chico",Math
"California State University, Chico",Environmental Science
"California State University, Chico",Sociology
"California State University, Chico",Food and Nutrition
"California State University, Dominguez Hills",Business
"California State University, Dominguez Hills",Criminal Justice
"California State University, Dominguez Hills",Nursing
"California State University, Dominguez Hills",Anthropology
"California State University, Dominguez Hills",Computer Science
"California State University, Dominguez Hills",Biology
"California State University, Dominguez Hills",Chemistry
"California State University, East Bay",Business and Management
"California State University, East Bay",Nursing
"California State University, East Bay",Psychology
"California State University, East Bay",Biology
"California State University, East Bay",Engineering
"California State University, East Bay",Education
"California State University, East Bay",Communications
"California State University, East Bay",Finance and Accounting
"California State University, East Bay",Criminal Justice
"California State University, East Bay",Anthropology
"California State University, East Bay",Food and Nutrition
"California State University, East Bay",Sociology
"California State University, East Bay",Music
"California State University, Fresno",Business and Management
"California State University, Fresno",Nursing
"California State University, Fresno",Psychology
"California State University, Fresno",Biology
"California State University, Fresno",Engineering
"California State University, Fresno",Education
"California State University, Fresno",Communications
"California State University, Fresno",Finance and Accounting
"California State University, Fresno",Criminal Justice
"California State University, Fresno",Food and Nutrition
"California State University, Fullerton",Business and Management
"California State University, Fullerton",Nursing
"California State University, Fullerton",Psychology
"California State University, Fullerton",Biology
"California State University, Fullerton",Engineering
"California State University, Fullerton",Education
"California State University, Fullerton",Communications
"California State University, Fullerton",Finance and Accounting
"California State University, Fullerton",Criminal Justice
"California State University, Fullerton",Anthropology
"California State University, Fullerton",Computer Science
"California State University, Fullerton",English
"California State University, Fullerton",Economics
"California State University, Fullerton",Political Science
"California State University, Fullerton",History
"California State University, Fullerton",Kinesiology and Physical Therapy
"California State University, Fullerton",Art
"California State University, Fullerton",Math
"California State University, Fullerton",Environmental Science
"California State University, Fullerton",Foreign Languages
"California State University, Long Beach",Business and Management
"California State University, Long Beach",Nursing
"California State University, Long Beach",Psychology
"California State University, Long Beach",Biology
"California State University, Long Beach",Engineering
"California State University, Long Beach",Education
